MSSubClass,LotArea,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
20,11241,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,2,480,0,0,0,0,0,0,700,3,2010,149000
90,10791,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,2,516,0,0,0,0,0,0,500,10,2006,90000
20,13695,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2,576,0,102,0,0,0,0,0,6,2008,159000
20,7560,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1,294,0,0,0,0,0,0,0,5,2009,139000
60,14215,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,3,853,240,154,0,0,0,0,0,11,2006,325300
45,7449,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1,280,0,0,205,0,0,0,0,6,2007,139400
20,9742,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2,534,171,159,0,0,0,0,0,9,2008,230000
120,4224,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,2,572,100,110,0,0,0,0,0,6,2007,129900
20,8246,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1,270,406,90,0,0,0,0,0,5,2010,154000
20,14230,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,3,890,0,56,0,0,0,0,0,7,2009,256300
20,7200,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2,576,222,32,0,0,0,0,0,5,2010,134800
20,11478,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,3,772,0,50,0,0,0,0,0,5,2010,306000
20,16321,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1,319,288,258,0,0,0,0,0,12,2006,207500
30,6324,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1,240,49,0,87,0,0,0,0,5,2008,68500
70,8500,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1,250,0,54,172,0,0,0,0,7,2008,40000
20,8544,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1,271,0,65,0,0,0,0,0,6,2008,149350
20,11049,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2,484,0,30,0,0,0,0,0,1,2008,179900
20,10552,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,2,447,0,38,0,0,0,0,0,4,2010,165500
120,7313,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2,556,203,47,0,0,0,0,0,8,2007,277500
60,13418,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,3,691,113,32,0,0,0,0,0,9,2006,309000
20,10859,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,2,672,392,64,0,0,0,0,0,6,2009,145000
20,8532,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,2,498,0,0,0,0,0,0,0,10,2009,153000
20,7922,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1,246,0,52,0,0,0,0,0,1,2010,109000
90,6040,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,6,2008,82000
20,8658,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,2,440,0,138,0,0,0,0,0,12,2006,160000
20,16905,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1,308,0,104,0,0,0,0,0,7,2007,170000
85,9180,0,840,884,0,0,884,1,0,1,0,2,1,5,0,2,504,240,0,0,0,0,0,0,12,2007,144000
20,9200,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1,308,145,0,0,0,0,0,0,7,2008,130250
20,7945,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1,300,0,0,0,0,0,0,0,5,2006,141000
120,7658,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2,576,196,82,0,0,0,0,0,2,2010,319900
50,12822,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2,670,168,43,0,0,198,0,0,8,2009,239686
20,11096,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,3,826,0,146,0,0,0,0,0,7,2007,249700
190,4456,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,0,0,0,0,102,0,0,0,0,6,2009,113000
20,7742,192,955,955,0,0,955,1,0,1,0,3,1,6,0,1,386,0,0,0,0,0,0,0,1,2007,127000
60,13869,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,2,388,0,75,0,0,0,0,0,7,2007,177000
50,6240,816,816,816,0,360,1176,0,0,1,0,3,1,6,1,2,528,112,0,0,0,0,0,400,9,2006,114500
90,8472,0,816,816,0,0,816,1,0,1,0,2,1,5,0,2,516,106,0,0,0,0,0,0,5,2010,110000
20,50271,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,3,894,857,72,0,0,0,0,0,11,2006,385000
80,7134,0,384,1360,0,0,1360,0,0,1,0,3,1,6,1,2,572,0,50,0,0,0,0,0,2,2007,130000
20,10175,935,1425,1425,0,0,1425,0,0,2,0,3,1,7,1,2,576,0,0,0,407,0,0,0,7,2008,180500
160,2645,321,970,983,756,0,1739,1,0,2,1,3,1,7,0,2,480,115,0,0,0,0,0,0,8,2009,172500
60,11645,860,860,860,860,0,1720,0,0,2,1,3,1,7,0,2,565,0,70,0,0,0,0,0,8,2006,196500
60,13682,1410,1410,1426,1519,0,2945,0,0,3,1,3,1,10,1,3,641,192,0,37,0,0,0,0,10,2006,438780
20,7200,148,780,780,0,0,780,0,0,1,0,2,1,4,0,1,352,196,0,0,0,0,0,0,1,2008,124900
20,13072,217,1158,1158,0,0,1158,1,0,1,1,3,1,5,0,2,576,0,50,0,0,0,0,0,5,2006,158000
75,7200,530,530,581,530,0,1111,0,0,1,0,3,1,6,0,1,288,0,0,144,0,0,0,0,3,2007,101000
120,6442,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,2,484,120,49,0,0,0,0,0,10,2007,202500
70,10300,576,576,902,808,0,1710,0,0,2,0,3,1,9,0,2,480,12,11,64,0,0,0,0,4,2010,140000
60,9375,318,1057,1057,977,0,2034,1,0,2,1,3,1,8,0,2,645,576,36,0,0,0,0,0,2,2009,219500
60,9591,1143,1143,1143,1330,0,2473,0,0,2,1,4,1,9,1,3,852,192,151,0,0,0,0,0,10,2007,317000
20,19900,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,2,576,301,0,0,0,0,0,0,7,2010,180000
20,10665,440,1453,1479,0,0,1479,1,0,2,0,3,1,7,0,2,558,144,29,0,0,0,0,0,6,2007,226000
30,4608,747,747,747,0,0,747,0,0,1,0,2,1,4,0,1,220,0,0,0,0,0,0,0,6,2010,80000
50,15593,701,1304,1304,983,0,2287,0,0,2,0,3,1,7,1,2,667,0,21,114,0,0,0,0,7,2006,225000
20,13651,343,2223,2223,0,0,2223,1,0,2,0,3,1,8,2,2,516,300,0,0,0,0,0,0,2,2007,244000
20,7599,280,845,845,0,0,845,1,0,1,0,2,1,4,0,2,360,0,0,0,0,0,0,0,6,2007,129500
60,10141,832,832,885,833,0,1718,0,0,2,1,3,1,7,1,2,427,0,94,0,0,291,0,0,12,2009,185000
20,10200,404,1086,1086,0,0,1086,1,0,1,0,3,1,6,0,2,490,0,0,0,0,0,0,0,5,2010,144900
50,5790,840,840,840,765,0,1605,0,0,2,0,3,2,8,0,1,379,0,0,202,0,0,0,0,5,2010,107400
180,1596,0,462,526,462,0,988,1,0,1,0,2,1,5,0,1,297,120,101,0,0,0,0,0,11,2009,91000
20,8475,724,952,952,0,0,952,0,0,1,0,2,1,4,0,1,283,0,0,0,0,0,0,0,4,2008,135750
50,8635,295,672,1072,213,0,1285,1,0,1,0,2,1,6,0,1,240,0,0,0,0,0,0,0,1,2008,127000
90,10778,1768,1768,1768,0,0,1768,0,0,2,0,4,2,8,0,0,0,0,0,0,0,0,0,0,4,2010,136500
50,10440,440,440,682,548,0,1230,0,0,1,1,2,1,5,0,2,440,74,0,128,0,0,0,0,5,2009,110000
60,13000,448,896,1182,960,0,2142,0,0,2,1,4,1,8,1,1,509,0,72,0,0,252,0,0,6,2009,193500
120,4500,36,1237,1337,0,0,1337,1,0,2,0,2,1,5,0,2,405,0,199,0,0,0,0,0,3,2006,153500
20,10206,1530,1563,1563,0,0,1563,0,0,2,0,3,1,6,1,3,758,144,99,0,0,0,0,0,10,2008,245000
20,8892,1065,1065,1065,0,0,1065,0,0,1,1,3,1,6,0,2,461,74,0,0,0,0,0,0,7,2007,126500
80,8530,384,384,804,670,0,1474,0,0,2,1,3,1,7,1,2,400,120,72,0,0,0,0,700,5,2009,168500
60,16059,1288,1288,1301,1116,0,2417,0,0,2,1,4,1,9,1,2,462,127,82,0,0,0,0,0,4,2006,260000
60,11911,684,684,684,876,0,1560,0,0,2,1,3,1,6,1,2,400,100,38,0,0,0,0,0,3,2009,174000
160,3951,612,612,612,612,0,1224,0,0,2,1,2,1,4,0,2,528,0,234,0,0,0,0,0,6,2009,164500
50,8470,1013,1013,1013,0,513,1526,0,0,1,0,2,1,6,0,0,0,0,0,156,0,0,0,0,10,2009,85000
20,8070,402,990,990,0,0,990,1,0,1,0,3,1,5,0,0,0,0,0,0,0,0,0,0,8,2007,123600
20,7200,0,0,1040,0,0,1040,0,0,1,0,2,1,4,0,2,420,0,29,0,0,0,0,0,7,2006,109900
20,8500,635,1235,1235,0,0,1235,0,0,1,0,2,1,6,0,2,480,0,0,0,0,0,0,0,12,2006,98600
30,13360,163,876,964,0,0,964,1,0,1,0,2,1,5,0,2,432,0,0,44,0,0,0,0,8,2009,163500
190,7200,168,1214,1260,1031,0,2291,0,1,2,0,4,2,9,1,2,506,0,0,0,0,99,0,0,11,2007,133900
60,9337,176,824,905,881,0,1786,1,0,2,1,3,1,7,0,2,684,0,162,0,0,0,0,0,5,2007,204750
60,9765,370,680,680,790,0,1470,0,0,2,1,3,1,6,1,2,420,232,63,0,0,0,0,480,4,2009,185000
20,10264,426,1588,1588,0,0,1588,0,0,2,0,3,1,6,0,2,472,158,29,0,0,0,0,0,8,2006,214000
20,10921,440,960,960,0,0,960,1,0,1,0,3,1,6,0,1,432,120,0,0,0,0,0,0,5,2007,94750
30,10625,350,458,835,0,0,835,0,0,1,0,2,1,5,0,1,366,0,0,77,0,0,0,400,5,2010,83000
20,9320,381,950,1225,0,0,1225,1,0,1,1,3,1,6,0,0,0,352,0,0,0,0,0,400,1,2010,128950
20,10603,410,1610,1610,0,0,1610,1,0,2,0,3,1,6,2,2,480,168,68,0,0,0,0,0,2,2010,205000
60,9206,741,741,977,755,0,1732,0,0,2,1,3,1,7,1,2,476,192,46,0,0,0,0,0,6,2010,178000
90,7018,0,0,1535,0,0,1535,0,0,2,0,4,2,8,0,2,410,0,0,0,0,0,0,0,6,2009,118964
20,10402,1226,1226,1226,0,0,1226,0,0,2,0,3,1,6,0,3,740,0,36,0,0,0,0,0,5,2010,198900
50,7758,816,1040,1226,592,0,1818,0,0,1,1,4,1,7,2,1,240,0,0,0,0,184,0,0,6,2007,169500
60,9375,1053,1053,1053,939,0,1992,0,0,2,1,3,1,9,1,2,648,140,45,0,0,0,0,0,8,2008,250000
30,10800,641,641,1047,0,0,1047,0,0,1,0,2,1,6,0,1,273,0,0,0,0,0,0,450,8,2007,100000
20,6000,516,789,789,0,0,789,0,0,1,0,2,1,5,0,1,250,0,0,0,0,0,0,0,4,2008,115000
50,8500,793,793,997,520,0,1517,0,0,2,0,3,1,7,0,0,0,0,0,144,0,0,0,0,8,2007,115000
20,11751,1139,1844,1844,0,0,1844,0,0,2,0,3,1,7,1,2,546,0,122,0,0,0,0,0,1,2010,190000
50,9525,550,994,1216,639,0,1855,0,0,2,0,4,1,7,0,1,325,182,0,0,0,0,0,0,10,2006,136900
80,7750,134,384,774,656,0,1430,0,0,2,1,3,1,7,1,2,400,180,0,0,0,0,0,0,4,2010,180000
60,9965,280,1264,1282,1414,0,2696,1,0,2,1,4,1,10,1,3,792,120,184,0,0,168,0,0,10,2007,383970
20,21000,905,1809,2259,0,0,2259,1,0,2,0,3,1,7,2,2,450,166,120,192,0,0,0,0,10,2007,217000
70,7259,104,1028,1436,884,0,2320,1,0,2,1,3,1,9,1,1,180,224,0,0,0,0,0,0,7,2007,259500
160,3230,310,729,729,729,0,1458,0,0,2,1,2,1,5,1,2,440,0,32,0,0,0,0,0,6,2007,176000
20,11616,252,1092,1092,0,0,1092,0,1,1,0,3,1,6,1,1,288,0,20,144,0,0,0,0,9,2009,139000
20,8536,1125,1125,1125,0,0,1125,0,0,1,1,2,1,5,0,2,430,80,64,0,0,0,0,0,4,2007,155000
60,12376,203,1673,1699,1523,0,3222,1,0,3,0,5,1,11,2,3,594,367,0,0,0,0,0,0,5,2010,320000
60,8461,728,728,728,728,0,1456,0,0,2,1,3,1,8,1,2,390,0,24,0,0,0,0,0,7,2006,163990
80,21453,0,938,988,0,0,988,1,0,1,0,1,1,4,2,2,540,0,130,0,130,0,0,0,10,2006,180000
50,6060,732,732,772,351,0,1123,0,0,1,0,3,1,4,0,1,264,0,0,140,0,0,0,0,6,2007,100000
20,9464,510,1080,1080,0,0,1080,0,0,1,0,3,1,5,0,1,288,0,0,0,0,130,0,0,6,2008,136000
120,7892,899,1199,1199,0,0,1199,0,0,2,0,2,1,5,0,2,530,0,63,0,0,0,0,0,3,2008,153900
20,17043,1362,1362,1586,0,0,1586,0,0,2,0,3,1,7,1,2,435,192,0,0,0,0,0,0,1,2009,181000
190,6780,30,520,520,0,234,754,1,0,1,0,2,1,5,0,0,0,53,0,0,0,0,0,0,6,2006,84500
120,4928,958,1078,958,0,0,958,0,0,2,0,2,1,5,1,2,440,0,205,0,0,0,0,0,2,2007,128000
45,4388,556,672,840,0,0,840,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,0,6,2007,87000
60,7590,148,660,660,688,0,1348,0,0,1,1,3,1,6,1,2,453,188,108,0,0,0,0,0,7,2006,155000
20,8973,413,1008,1053,0,0,1053,0,1,1,1,3,1,6,0,2,750,0,80,0,180,0,0,0,7,2006,150000
60,14200,479,924,1216,941,0,2157,0,0,2,1,4,1,8,2,2,487,105,66,0,0,0,0,0,5,2006,226000
60,12224,297,992,1022,1032,0,2054,1,0,2,1,3,1,7,1,2,390,24,48,0,0,0,0,0,7,2009,244000
20,7388,658,1063,1327,0,0,1327,1,0,1,0,3,1,7,0,2,624,0,0,0,0,0,0,0,7,2007,150750
20,6853,262,1267,1296,0,0,1296,1,0,2,0,2,1,6,0,2,471,192,25,0,0,0,0,0,6,2009,220000
20,10335,891,1461,1721,0,0,1721,0,0,2,1,3,1,7,1,2,440,0,96,180,0,0,0,0,7,2006,180000
20,10400,1304,1304,1682,0,0,1682,0,0,2,0,3,1,7,1,2,530,98,0,0,0,0,0,0,5,2008,174000
20,10355,519,1214,1214,0,0,1214,0,0,2,0,3,1,5,1,1,318,0,111,0,0,0,0,0,7,2007,143000
90,11070,1907,1907,1959,0,0,1959,0,0,3,0,5,2,9,0,3,766,0,0,0,0,0,0,0,7,2006,171000
60,9066,336,1004,1004,848,0,1852,0,0,2,1,3,1,7,2,3,660,224,106,0,0,0,0,0,12,2008,230000
60,15426,107,928,928,836,0,1764,1,0,2,1,3,1,7,0,2,470,276,99,0,0,0,0,0,8,2009,231500
20,10500,432,864,864,0,0,864,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,0,4,2010,115000
20,11645,434,1734,1734,0,0,1734,1,0,2,0,3,1,7,0,2,660,160,24,0,0,0,0,0,1,2006,260000
50,8520,403,910,910,475,0,1385,0,0,2,0,4,1,6,0,2,720,0,0,0,0,0,0,0,6,2010,166000
20,10335,811,1490,1501,0,0,1501,1,0,2,0,3,1,6,0,2,577,144,29,0,0,0,0,0,6,2009,204000
90,9100,396,1728,1728,0,0,1728,1,0,2,0,6,2,10,0,2,504,0,0,0,0,0,0,0,11,2006,125000
160,2522,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,2,380,0,40,0,0,0,0,0,4,2006,130000
30,6120,506,715,875,0,0,875,1,0,1,0,2,1,5,0,1,180,48,0,0,0,0,0,0,11,2009,105000
60,9505,884,884,884,1151,0,2035,0,0,2,1,3,1,8,1,2,434,144,48,0,0,0,0,0,5,2010,222500
20,7500,400,1080,1080,0,0,1080,1,0,1,0,3,1,6,0,0,0,0,0,0,0,0,0,0,4,2008,141000
50,6240,896,896,896,448,0,1344,0,0,1,0,3,1,7,0,1,240,200,114,0,0,0,0,0,4,2006,115000
20,10356,253,969,969,0,0,969,0,0,1,1,3,1,5,0,2,440,0,0,0,0,0,0,0,1,2007,122000
20,13891,310,1710,1710,0,0,1710,1,0,2,0,2,1,6,1,3,866,0,102,0,0,0,0,0,1,2008,372402
60,14803,409,825,1097,896,0,1993,0,0,2,1,4,1,8,1,2,495,0,66,0,0,0,0,0,6,2006,190000
20,13500,93,1602,1252,0,0,1252,1,0,1,0,1,1,4,1,2,564,409,0,0,0,0,0,0,3,2008,235000
30,11340,1200,1200,1200,0,0,1200,0,0,1,0,4,1,7,0,1,312,0,0,228,0,0,0,0,3,2006,125000
50,9600,572,572,572,524,0,1096,0,0,1,0,2,1,5,0,0,0,0,8,128,0,0,0,0,4,2008,79000
20,7200,0,0,1040,0,0,1040,0,0,1,0,2,1,5,0,2,625,0,0,0,0,0,0,0,6,2006,109500
60,12003,774,774,774,1194,0,1968,0,0,2,1,4,1,8,1,3,680,0,75,0,0,0,0,0,5,2010,269500
60,12552,769,991,991,956,0,1947,0,0,2,1,3,1,8,1,2,678,0,136,0,0,0,0,0,5,2010,254900
60,19378,1335,1392,1392,1070,0,2462,1,0,2,1,4,1,9,1,2,576,239,132,0,168,0,0,0,3,2006,320000
20,11120,572,1232,1232,0,0,1232,0,0,2,0,3,1,6,0,2,516,0,0,0,0,0,0,0,6,2008,162500
60,13688,556,1572,1572,1096,0,2668,1,0,2,1,3,1,10,2,3,726,400,0,0,0,0,0,0,3,2008,412500
20,12182,340,1541,1541,0,0,1541,0,0,2,0,3,1,7,1,2,532,0,70,0,0,0,0,0,5,2010,220000
45,5500,882,882,882,0,0,882,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,4,2007,103200
40,5400,779,1149,1149,467,0,1616,0,0,2,0,3,1,5,0,1,216,0,0,183,0,0,0,0,10,2007,152000
190,10106,112,644,808,547,0,1355,1,0,2,0,4,2,6,0,0,0,140,0,0,0,0,0,0,9,2008,127500
20,10708,470,1617,1867,0,0,1867,1,0,1,0,2,1,7,3,1,303,476,0,0,0,142,0,0,11,2009,190000
60,10562,294,1582,1610,551,0,2161,1,0,1,1,3,1,8,1,3,789,178,120,0,0,0,0,0,11,2007,325624
60,8244,840,840,840,880,0,1720,0,0,2,1,3,1,7,1,2,440,100,48,0,0,0,0,0,5,2007,183500
20,16669,1686,1686,1707,0,0,1707,0,0,2,1,2,1,6,1,2,511,574,64,0,0,0,0,0,1,2006,228000
50,12358,360,720,854,0,528,1382,0,0,1,1,2,1,7,0,2,660,237,0,0,0,0,0,0,5,2007,128500
20,31770,441,1080,1656,0,0,1656,1,0,1,0,3,1,7,2,2,528,210,62,0,0,0,0,0,5,2010,215000
160,5306,354,1064,1064,703,0,1767,1,0,2,0,2,1,5,1,2,504,441,35,0,0,0,0,0,6,2006,239000
20,10197,700,1362,1362,0,0,1362,1,0,1,1,3,1,6,1,2,504,0,20,0,0,0,0,0,6,2008,163000
20,12416,0,1606,1651,0,0,1651,1,0,2,0,3,1,7,1,2,616,192,0,0,0,0,0,0,11,2008,184000
20,12615,725,1202,2158,0,0,2158,1,0,2,0,4,1,7,1,2,576,0,29,39,0,0,0,0,6,2007,243000
60,10029,320,1151,1164,896,0,2060,0,1,2,1,4,1,8,1,2,521,0,228,0,0,192,0,0,9,2007,211000
50,13650,554,1052,1252,668,0,1920,1,0,2,0,4,1,8,1,2,451,0,0,0,0,0,0,0,7,2006,172500
20,17423,312,2216,2234,0,0,2234,1,0,2,0,1,1,9,1,3,1166,0,60,0,0,0,0,0,7,2009,501837
30,8520,968,968,968,0,0,968,0,0,1,0,2,1,5,0,2,480,0,0,184,0,0,0,0,7,2007,100000
160,2117,320,756,769,756,0,1525,0,0,2,1,3,1,5,1,2,440,0,0,0,0,0,0,0,6,2007,177000
70,7588,441,793,901,901,0,1802,0,0,1,1,4,1,9,1,1,216,0,0,40,0,0,0,0,7,2006,200100
20,9060,0,0,1340,0,0,1340,0,0,1,0,3,1,7,1,1,252,116,0,0,180,0,0,0,6,2007,120000
50,11426,1362,1362,1362,720,0,2082,0,0,2,1,3,1,6,0,2,484,280,238,0,0,0,0,0,6,2008,200000
50,7438,504,504,936,316,0,1252,0,0,1,0,3,1,5,0,2,576,104,0,0,0,0,0,0,6,2006,127000
75,22950,1107,1107,1518,1518,572,3608,0,0,2,1,4,1,12,2,3,840,0,260,0,0,410,0,0,6,2006,475000
80,9947,577,1188,1217,0,0,1217,1,0,2,0,3,1,6,0,2,497,168,27,0,0,0,0,0,6,2009,173000
50,10410,660,660,808,704,144,1656,0,0,2,1,3,1,8,0,1,180,0,0,0,140,0,0,0,8,2009,135000
90,7018,0,1086,1224,0,0,1224,2,0,0,2,2,2,6,2,2,528,120,0,0,0,0,0,0,6,2009,153337
120,4923,440,1593,1593,0,0,1593,1,0,1,1,0,1,5,1,2,682,0,120,0,0,224,0,0,8,2008,286000
70,10570,556,853,1549,1178,0,2727,0,0,2,1,3,1,10,2,2,440,0,74,0,0,0,0,0,12,2007,315000
60,7472,99,725,725,754,0,1479,1,0,1,1,4,1,7,0,2,484,0,32,0,0,0,0,0,6,2007,184000
20,9017,871,1431,1431,0,0,1431,1,0,2,0,3,1,6,0,2,666,0,35,0,0,0,0,0,9,2009,192000
160,2522,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,2,380,0,40,0,0,0,0,0,5,2006,130000
20,7180,474,864,864,0,0,864,0,0,1,0,3,1,5,0,1,352,0,0,0,0,0,0,0,5,2008,127000
160,2280,289,855,855,601,0,1456,0,0,2,1,3,1,7,1,2,440,87,0,0,0,0,0,0,7,2009,148500
20,9416,600,1726,1726,0,0,1726,1,0,2,0,3,1,8,1,3,786,171,138,0,0,266,0,0,9,2007,311872
75,25419,140,1360,1360,1360,392,3112,1,1,2,0,4,1,8,1,2,795,0,16,552,0,0,512,0,3,2006,235000
75,5520,755,755,929,929,371,2229,0,0,1,0,5,1,8,0,0,0,0,198,30,0,0,0,0,7,2009,104000
20,9591,625,1713,1713,0,0,1713,1,0,2,0,3,1,7,1,3,856,0,26,0,0,170,0,0,1,2009,274900
20,8546,1121,1121,1121,0,0,1121,0,0,2,0,2,1,5,0,2,440,132,64,0,0,0,0,0,3,2010,140000
20,10125,276,1196,1279,0,0,1279,0,1,2,0,3,1,6,2,2,473,238,83,0,0,0,0,0,2,2008,171500
50,7000,0,617,865,445,0,1310,0,0,2,0,2,1,6,0,1,398,0,0,126,0,0,0,0,5,2006,112000
120,4438,186,848,848,0,0,848,1,0,1,0,1,1,3,1,2,420,149,0,0,0,0,0,0,1,2008,149000
50,3500,408,720,720,564,0,1284,0,0,1,1,2,1,5,0,1,240,0,35,0,0,0,0,0,4,2009,110000
20,11851,1424,1424,1442,0,0,1442,0,0,2,0,3,1,5,0,2,500,0,34,0,508,0,0,0,5,2009,180500
20,13673,1140,1140,1696,0,0,1696,0,0,1,1,3,1,8,1,1,349,0,30,0,0,0,0,0,3,2007,143900
20,12493,375,1100,1100,0,0,1100,1,0,1,0,3,1,6,1,1,312,355,0,0,0,0,0,0,4,2008,141000
60,14364,92,1157,1180,882,0,2062,1,0,2,1,3,1,7,1,2,454,60,55,0,0,154,0,0,4,2007,277000
20,8250,305,1092,1092,0,0,1092,1,0,1,0,3,1,6,0,2,504,0,0,0,0,0,0,0,7,2008,145000
30,5604,396,864,864,0,0,864,1,0,1,0,2,1,5,0,0,0,0,0,96,0,0,0,0,4,2008,98000
20,10420,1176,1212,1212,0,0,1212,0,0,2,0,3,1,6,0,2,460,100,22,0,0,0,0,0,3,2010,186000
60,8640,78,900,932,920,0,1852,1,0,2,1,3,1,7,1,2,644,168,108,0,0,0,0,0,7,2009,252678
20,13568,274,990,990,0,0,990,0,1,1,0,3,1,5,0,2,576,224,0,0,0,0,0,0,7,2006,156000
60,10900,311,689,689,703,0,1392,0,0,1,1,3,1,6,0,1,299,0,36,0,0,0,0,450,3,2010,161750
20,10011,710,1070,1236,0,0,1236,0,1,1,0,2,1,6,1,1,447,0,0,0,0,0,0,0,5,2006,134450
20,8450,490,1436,1436,0,0,1436,1,0,2,0,3,1,8,0,2,484,139,98,0,0,0,0,0,4,2008,210000
70,9906,686,686,810,518,0,1328,0,0,1,0,3,1,8,0,1,210,0,172,60,0,0,0,0,9,2006,107000
50,15660,457,798,1137,817,0,1954,0,1,1,1,3,1,8,2,2,431,0,119,150,0,0,0,0,5,2008,311500
120,3010,1232,1248,1248,0,0,1248,0,0,2,0,2,1,5,0,2,438,108,0,0,0,0,0,0,3,2006,167240
20,8990,1498,1498,1498,0,0,1498,0,0,2,0,2,1,5,0,2,675,351,33,0,0,0,0,0,4,2006,204900
