MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition
0,0,0,1,0,0,3,0,11,0,0,0,1,1,3,16,3,0,0,2,5,0,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,9,0,0,2,1,5,0,17,15,0,0,1,1,1,1,0,4,0,2,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,12,4,0,0,1,3,0,6,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,1,3,2,18,9,1,0,4,4,1,1,0,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,2,1
0,0,0,1,0,0,2,0,10,0,0,0,0,2,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,2
1,0,1,0,1,0,0,0,13,0,0,0,3,0,3,19,8,0,0,2,5,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,14,0,0,3,1,3,3,1,1,0,0,6,6,1,1,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,9,0,0,0,1,3,1,21,14,0,0,7,4,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,2,0,10,0,0,0,1,2,0,22,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,11,0,0,0,1,3,3,23,4,0,0,2,5,1,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,0,1,2,0,22,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,3,0,11,0,0,0,1,3,2,24,18,0,0,1,1,1,1,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,8,1,2,0,1,5,2,25,8,0,0,1,1,1,1,0,2,0,3,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0
2,0,2,0,0,0,0,0,13,1,0,0,0,5,4,26,8,2,0,4,7,1,1,2,2,0,2,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0
0,0,0,1,0,0,3,0,9,0,0,0,1,3,2,27,10,0,0,3,3,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,22,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,11,0,0,0,1,3,0,28,19,1,0,4,7,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,3,1,4,0,11,6,1,0,1,1,0,2,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,6,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,29,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,1,3,2,30,20,1,0,2,5,0,1,0,1,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,1,3,3,31,12,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,15,0,0,2,1,5,0,32,21,0,0,8,4,1,1,0,0,0,2,1,3,3,0,0,4,3,3,2,1,0,0,0,0,3
0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,10,9,0,0,2,5,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1
0,0,0,0,0,0,0,0,16,0,0,0,1,3,2,28,19,0,0,0,0,1,1,1,1,0,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0
0,0,0,1,0,0,3,0,12,0,0,0,4,3,3,33,22,0,0,3,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
0,0,0,1,0,0,3,0,0,0,0,0,1,3,2,34,23,1,0,0,0,1,1,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,1,3,2,28,19,0,0,4,5,1,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,3,1,4,0,11,6,1,0,1,1,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,3,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,5,0,0,0,1,2,0,13,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,7,0,0,1,0,5,0,26,17,0,0,1,1,1,1,0,2,0,1,0,0,1,0,0,4,3,3,2,1,0,0,0,1,2
0,0,0,0,0,0,0,0,9,0,0,0,1,3,3,27,24,0,0,3,3,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,2,0,0,2,0,17,0,0,0,0,1,2,35,18,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,8,0,0,0,2,1,2,36,8,0,0,2,5,1,1,0,0,0,2,0,0,1,0,2,1,1,0,0,0,0,1,1,0,0
1,1,0,2,1,0,2,1,13,5,0,2,1,3,0,37,25,0,0,2,5,1,3,0,1,0,2,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0
0,0,0,1,2,0,0,0,1,0,0,0,1,4,0,38,26,0,1,5,2,1,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,11,0,0,0,5,3,0,32,21,0,0,1,1,1,1,0,1,0,2,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,11,0,0,0,1,1,0,39,27,0,0,3,4,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
3,0,2,0,0,0,0,0,5,0,0,4,0,2,0,40,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,3,0,3,0,18,0,0,0,0,6,0,13,10,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,2
0,0,0,0,1,0,0,0,0,0,0,0,1,3,3,41,28,0,0,3,3,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,12,4,0,0,1,1,0,6,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2
1,0,0,0,0,0,0,0,13,0,0,0,6,3,3,26,29,0,0,1,1,1,1,0,2,0,2,1,0,3,0,0,1,1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,10,0,0,3,1,2,0,13,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,7,6,3,0,0,0,2,42,8,0,0,9,8,1,1,0,2,0,1,0,0,1,0,0,1,1,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,7,0,0,1,0,0,16,31,0,0,7,4,0,1,0,1,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,7,3,0,0,1,5,2,43,8,0,0,1,1,1,1,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,19,0,0,0,2,0,4,31,32,0,0,4,9,1,0,0,1,1,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,11,0,0,0,1,0,2,7,7,0,0,7,4,0,1,1,1,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,4,0,0,0,1,5,2,44,10,0,0,3,4,1,1,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,2,0,17,0,0,0,0,0,0,45,30,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,1,3,3,30,0,0,0,2,5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0
1,0,0,0,0,0,2,0,7,0,0,0,0,7,2,3,8,2,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,14,0,0,4,5,5,0,7,7,0,0,6,6,1,1,0,1,0,2,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0
0,0,0,1,0,0,0,0,11,0,0,0,1,5,3,46,33,0,0,0,0,1,1,0,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,8,0,0,0,2,3,0,47,14,0,0,2,5,1,1,0,1,0,2,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,9,0,0,2,1,5,0,21,34,1,0,3,3,1,1,0,1,0,2,1,0,1,0,0,4,3,3,2,0,0,0,0,0,0
1,0,1,0,0,0,2,0,7,0,0,0,0,3,2,48,35,0,0,2,5,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,2,0,11,0,0,0,0,1,2,21,34,0,0,0,0,0,1,1,1,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,4,0,0,3,1,1,0,45,30,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,22,12,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,11,0,0,0,1,3,0,14,13,0,0,1,1,3,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0
0,0,0,1,0,0,0,0,17,0,0,0,5,0,0,49,29,0,0,3,3,0,1,0,0,0,1,0,0,1,0,1,2,2,0,0,0,0,0,1,0,0
0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,50,36,1,0,3,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,17,0,0,0,0,1,0,11,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0
3,0,2,0,0,0,2,0,5,0,0,3,0,1,0,51,37,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
2,0,0,1,0,0,2,0,13,1,3,0,2,7,5,3,38,1,0,7,4,1,3,2,1,0,2,1,0,3,0,0,4,3,3,2,1,0,1,0,3,1
0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,29,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,3,3,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,1,5,0,52,8,0,0,4,5,1,1,0,4,0,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,1,3,6,53,39,1,0,3,3,3,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1
0,0,1,1,3,0,0,0,2,0,0,0,1,3,3,42,10,0,0,2,5,1,1,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,2,0,7,0,0,1,6,1,2,48,30,1,0,1,1,1,1,0,2,1,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,35,18,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,2,0,17,0,0,0,0,1,1,5,40,0,0,0,0,0,2,1,0,0,1,0,0,1,0,1,2,2,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,40,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,15,0,0,0,1,5,0,10,9,1,0,3,3,0,1,0,1,0,2,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0
0,0,0,0,0,0,2,0,15,0,0,0,1,3,0,26,8,0,0,2,5,1,1,0,2,0,3,1,0,1,0,0,5,1,1,0,0,0,0,1,2,1
0,0,0,1,0,0,0,0,11,0,0,0,1,5,0,28,19,0,0,7,4,1,1,0,1,0,3,0,0,1,0,0,4,3,3,2,0,0,0,1,0,0
0,0,0,1,0,0,0,0,6,0,0,0,1,1,3,54,14,0,0,7,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,55,42,0,0,3,3,0,0,0,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,12,0,0,2,1,3,0,56,43,0,0,3,3,1,1,2,4,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4
0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,51,37,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,13,0,0,0,2,0,4,8,8,0,0,9,8,0,1,2,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,7,0,0,0,1,5,3,57,5,3,0,0,0,1,1,0,2,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,7,0,0,0,1,3,0,47,8,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,2,0,13,3,0,0,2,3,3,58,6,0,0,6,6,1,1,0,1,1,2,1,1,3,0,0,4,3,3,2,1,0,0,0,0,0
0,0,0,1,0,0,0,0,6,0,0,0,1,1,2,54,44,1,0,7,4,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0
0,0,0,0,0,0,0,0,15,0,0,0,2,1,4,30,28,0,0,2,5,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,17,0,0,0,5,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,1,2
0,0,0,0,1,0,2,0,2,0,0,0,1,1,0,31,32,1,0,2,5,0,1,1,1,0,2,0,0,0,0,2,5,1,0,0,0,0,1,0,2,1
0,0,0,1,0,0,0,1,2,0,0,0,0,1,1,43,2,2,0,2,5,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
3,0,2,0,0,0,2,0,5,0,0,3,0,1,0,40,41,0,0,1,1,0,1,0,0,0,1,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,0,0,0,1,3,0,12,11,0,0,2,5,0,1,0,1,0,2,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,15,0,0,0,1,3,0,13,12,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,59,20,1,0,7,4,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,2
0,0,0,1,2,0,3,2,19,0,0,0,5,1,0,60,45,4,2,7,4,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,13,0,0,0,2,5,0,9,8,0,0,8,9,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,1,0,0,0
0,0,0,0,0,0,2,0,11,0,0,0,1,1,3,18,46,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,3,1,1,0,5,40,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,3,0,6,0,0,0,1,1,0,56,30,0,0,3,3,1,1,1,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,13,0,0,1,2,1,1,61,38,0,0,2,5,1,1,2,1,0,1,1,0,1,0,0,4,3,3,2,1,0,0,0,0,0
0,0,0,1,0,0,0,0,20,0,0,3,1,1,0,1,1,0,0,7,4,1,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,7,1,0,0,3,3,3,19,8,0,0,5,5,1,1,1,2,0,0,0,0,1,0,1,4,3,3,2,1,0,0,0,0,0
0,0,0,0,0,0,0,0,11,2,0,0,0,1,0,27,24,0,0,0,0,0,1,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,1,3,3,18,47,0,0,7,4,0,1,0,1,0,2,0,2,2,0,0,6,0,0,0,0,0,4,0,0,1
0,0,0,0,0,0,2,0,11,0,0,0,0,0,2,27,24,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0
0,0,0,1,0,0,2,0,17,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,11,0,0,0,1,3,2,28,2,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,16,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,9,0,0,0,1,3,2,21,40,0,0,7,4,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,6,0,0,0,1,0,2,16,3,1,0,7,4,0,1,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0
0,0,0,1,0,0,2,0,11,0,0,0,1,3,0,17,15,0,0,1,1,0,1,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,62,31,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,0,5
0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,35,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,11,0,0,0,1,5,0,63,48,0,0,3,3,1,1,0,1,0,2,0,0,1,0,5,4,3,3,2,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,11,3,0,0,2,3,4,64,49,0,0,4,5,1,1,2,1,0,3,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,40,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,9,4,0,2,1,3,0,37,25,0,0,3,3,0,1,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,4,1
1,0,0,0,0,0,0,0,15,0,0,4,0,1,0,6,10,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,8,0,0,0,1,3,3,8,40,0,0,2,5,1,1,0,2,0,2,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0
0,0,0,1,0,0,3,0,17,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,3,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,8,0,0,0,2,3,4,65,8,0,0,1,1,1,1,0,2,0,1,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,1,3,2,34,50,0,0,3,3,1,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,10,0,0,0,1,2,0,22,17,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2
0,0,0,1,0,0,3,0,6,0,0,0,0,1,0,63,48,0,0,3,3,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,19,0,0,0,1,1,3,14,50,4,0,4,4,1,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,7,0,0,0,1,1,0,66,8,0,0,2,5,1,1,0,2,0,2,0,2,1,0,0,1,1,1,1,0,0,0,0,0,5
0,0,0,0,0,0,2,0,15,3,0,0,2,1,0,67,8,0,0,2,5,1,1,0,2,2,3,1,1,1,0,0,4,3,3,2,1,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,1,3,3,52,8,1,0,2,5,1,1,0,1,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,16,0,0,0,0,2,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,1,2
3,0,0,0,0,0,2,0,5,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
0,0,0,1,3,0,2,0,17,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2
