MSZoning,Utilities,LotConfig,LandSlope,ExterCond,Heating,PoolQC,MiscFeature,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SalePrice,OverallCond,OverallQual
0,0,0,0,0,0,0,0,1088,1324,1324,2,6,1,2,440,160000,5,6
0,0,0,0,1,0,0,0,1350,1328,1328,1,5,2,1,308,170000,6,5
0,0,3,0,0,0,0,0,840,884,884,1,5,0,2,504,144000,7,5
0,0,3,0,0,0,0,0,938,938,938,1,5,0,1,308,130250,6,5
0,0,0,0,0,0,0,0,1150,1150,1150,1,6,0,1,300,141000,6,5
0,0,0,0,0,0,0,0,1752,1752,1752,2,6,1,2,576,319900,5,9
0,0,3,0,0,0,0,0,1434,1518,2149,1,6,1,2,670,239686,5,7
3,0,0,0,0,0,0,0,1656,1656,1656,2,7,0,3,826,249700,5,8
1,0,0,0,0,0,0,0,736,736,1452,2,8,0,0,0,113000,5,4
0,0,0,0,0,0,0,0,955,955,955,1,6,0,1,386,127000,7,5
0,0,2,0,0,0,0,0,794,794,1470,2,6,0,2,388,177000,6,6
1,0,0,0,0,0,0,1,816,816,1176,1,6,1,2,528,114500,6,6
1,0,2,1,0,0,0,0,816,816,816,1,5,0,2,516,110000,5,5
0,0,0,0,0,0,0,0,1842,1842,1842,0,5,1,3,894,385000,5,9
0,0,0,1,0,0,0,0,384,1360,1360,1,6,1,2,572,130000,5,5
0,0,0,0,0,0,0,0,1425,1425,1425,2,7,1,2,576,180500,5,6
3,0,0,0,0,0,0,0,970,983,1739,2,7,0,2,480,172500,5,8
0,0,2,0,0,0,0,0,860,860,1720,2,7,0,2,565,196500,5,7
0,0,3,0,0,0,0,0,1410,1426,2945,3,10,1,3,641,438780,5,10
0,0,0,0,0,0,0,0,780,780,780,1,4,0,1,352,124900,7,5
0,0,0,0,0,0,0,0,1158,1158,1158,1,5,0,2,576,158000,5,6
1,0,0,0,0,0,0,0,530,581,1111,1,6,0,1,288,101000,7,5
0,0,0,0,0,0,0,0,1370,1370,1370,2,6,1,2,484,202500,5,8
1,0,0,0,0,0,0,0,576,902,1710,2,9,0,2,480,140000,6,7
0,0,0,0,0,0,0,0,1057,1057,2034,2,8,0,2,645,219500,5,7
0,0,0,0,0,0,0,0,1143,1143,2473,2,9,1,3,852,317000,5,8
0,0,0,0,0,0,0,0,1947,2207,2207,2,7,1,2,576,180000,5,7
0,0,0,0,0,0,0,0,1453,1479,1479,2,7,0,2,558,226000,5,7
1,0,2,0,1,0,0,0,747,747,747,1,4,0,1,220,80000,6,4
0,0,2,0,0,1,0,0,1304,1304,2287,2,7,1,2,667,225000,4,7
0,0,0,0,1,0,0,0,2223,2223,2223,2,8,2,2,516,244000,6,7
0,0,2,0,0,0,0,0,845,845,845,1,4,0,2,360,129500,6,4
0,0,2,0,0,0,0,0,832,885,1718,2,7,1,2,427,185000,5,7
0,0,0,0,0,0,0,0,1086,1086,1086,1,6,0,2,490,144900,7,5
1,0,2,0,1,0,0,0,840,840,1605,2,8,0,1,379,107400,6,3
1,0,0,0,0,0,0,0,462,526,988,1,5,0,1,297,91000,5,4
0,0,0,0,0,0,0,0,952,952,952,1,4,0,1,283,135750,7,4
1,0,0,0,0,0,0,0,672,1072,1285,1,6,0,1,240,127000,5,5
0,0,0,0,0,0,0,0,1768,1768,1768,2,8,0,0,0,136500,5,4
1,0,2,0,0,0,0,0,440,682,1230,1,5,0,2,440,110000,6,5
0,0,2,0,1,0,0,0,896,1182,2142,2,8,1,1,509,193500,6,6
1,0,1,0,1,0,0,0,1237,1337,1337,2,5,0,2,405,153500,5,6
0,0,0,0,0,0,0,0,1563,1563,1563,2,6,1,3,758,245000,5,8
0,0,0,0,0,0,0,0,1065,1065,1065,1,6,0,2,461,126500,5,5
0,0,0,0,0,0,0,1,384,804,1474,2,7,1,2,400,168500,5,7
0,0,2,0,0,0,0,0,1288,1301,2417,2,9,1,2,462,260000,5,8
0,0,0,0,0,0,0,0,684,684,1560,2,6,1,2,400,174000,5,6
3,0,2,0,0,0,0,0,612,612,1224,2,4,0,2,528,164500,5,6
2,0,2,0,2,0,0,0,1013,1013,1526,1,6,0,0,0,85000,2,3
0,0,0,0,0,0,0,0,990,990,990,1,5,0,0,0,123600,5,4
0,0,0,0,0,0,0,0,0,1040,1040,1,4,0,2,420,109900,5,4
0,0,0,0,0,0,0,0,1235,1235,1235,1,6,0,2,480,98600,3,5
0,0,0,0,1,0,0,0,876,964,964,1,5,0,2,432,163500,7,5
2,0,2,0,0,1,0,0,1214,1260,2291,2,9,1,2,506,133900,6,6
0,0,0,0,1,0,0,0,824,905,1786,2,7,0,2,684,204750,5,6
0,0,2,0,1,0,0,1,680,680,1470,2,6,1,2,420,185000,8,6
0,0,0,0,0,0,0,0,1588,1588,1588,2,6,0,2,472,214000,5,7
0,0,0,0,0,0,0,0,960,960,960,1,6,0,1,432,94750,5,4
0,0,2,0,0,0,0,1,458,835,835,1,5,0,1,366,83000,5,5
0,0,0,0,0,0,0,1,950,1225,1225,1,6,0,0,0,128950,5,4
0,0,0,0,0,0,0,0,1610,1610,1610,2,6,2,2,480,205000,7,6
0,0,0,0,0,0,0,0,741,977,1732,2,7,1,2,476,178000,5,6
0,0,0,0,2,0,0,0,0,1535,1535,2,8,0,2,410,118964,5,5
0,0,2,0,0,0,0,0,1226,1226,1226,2,6,0,3,740,198900,5,7
1,0,2,0,2,0,0,0,1040,1226,1818,1,7,2,1,240,169500,4,7
3,0,0,0,0,0,0,0,1053,1053,1992,2,9,1,2,648,250000,5,8
1,0,0,0,0,0,0,1,641,1047,1047,1,6,0,1,273,100000,7,4
1,0,0,0,0,0,0,0,789,789,789,1,5,0,1,250,115000,5,5
1,0,2,0,0,1,0,0,793,997,1517,2,7,0,0,0,115000,7,5
0,0,0,0,0,0,0,0,1844,1844,1844,2,7,1,2,546,190000,6,6
0,0,0,0,0,0,0,0,994,1216,1855,2,7,0,1,325,136900,4,6
0,0,0,0,0,0,0,0,384,774,1430,2,7,1,2,400,180000,5,7
0,0,0,0,0,0,0,0,1264,1282,2696,2,10,1,3,792,383970,5,7
0,0,2,0,1,0,0,0,1809,2259,2259,2,7,2,2,450,217000,5,6
0,0,0,1,0,0,0,0,1028,1436,2320,2,9,1,1,180,259500,8,6
3,0,2,0,0,0,0,0,729,729,1458,2,5,1,2,440,176000,5,6
0,0,0,0,0,0,0,0,1092,1092,1092,1,6,1,1,288,139000,5,5
0,0,2,0,0,0,0,0,1125,1125,1125,1,5,0,2,430,155000,5,5
0,0,2,0,0,0,0,0,1673,1699,3222,3,11,2,3,594,320000,5,7
0,0,0,0,0,0,0,0,728,728,1456,2,8,1,2,390,163990,5,6
0,0,3,2,0,0,0,0,938,988,988,1,4,2,2,540,180000,5,6
1,0,0,0,0,0,0,0,732,772,1123,1,4,0,1,264,100000,5,4
0,0,2,0,1,0,0,0,1080,1080,1080,1,5,0,1,288,136000,7,6
0,0,0,0,0,0,0,0,1199,1199,1199,2,5,0,2,530,153900,5,6
0,0,3,0,1,0,0,0,1362,1586,1586,2,7,1,2,435,181000,5,6
1,0,0,0,2,0,0,0,520,520,754,1,5,0,0,0,84500,8,6
0,0,0,0,0,0,0,0,1078,958,958,2,5,1,2,440,128000,5,6
1,0,0,0,1,0,0,0,672,840,840,1,5,1,0,0,87000,7,5
0,0,0,0,0,0,0,0,660,660,1348,1,6,1,2,453,155000,5,6
0,0,0,0,0,0,0,0,1008,1053,1053,1,6,0,2,750,150000,7,5
0,0,2,0,0,0,0,0,924,1216,2157,2,8,2,2,487,226000,6,7
0,0,2,0,0,0,0,0,992,1022,2054,2,7,1,2,390,244000,5,6
0,0,2,0,0,0,0,0,1063,1327,1327,1,7,0,2,624,150750,6,5
0,0,0,0,0,0,0,0,1267,1296,1296,2,6,0,2,471,220000,5,8
0,0,0,0,0,0,0,0,1461,1721,1721,2,7,1,2,440,180000,6,5
0,0,0,0,0,0,0,0,1304,1682,1682,2,7,1,2,530,174000,6,7
0,0,2,0,0,0,0,0,1214,1214,1214,2,5,1,1,318,143000,5,5
0,0,0,0,0,0,0,0,1907,1959,1959,3,9,0,3,766,171000,5,7
0,0,0,0,0,0,0,0,1004,1004,1852,2,7,2,3,660,230000,5,8
0,0,0,0,0,0,0,0,928,928,1764,2,7,0,2,470,231500,5,6
0,0,1,0,0,0,0,0,864,864,864,1,5,1,0,0,115000,5,4
0,0,0,0,0,0,0,0,1734,1734,1734,2,7,0,2,660,260000,5,7
0,0,2,0,2,0,0,0,910,910,1385,2,6,0,2,720,166000,4,5
0,0,0,0,0,0,0,0,1490,1501,1501,2,6,0,2,577,204000,5,7
1,0,0,0,0,0,0,0,1728,1728,1728,2,10,0,2,504,125000,5,5
1,0,0,0,0,0,0,0,970,970,1709,2,7,0,2,380,130000,5,6
1,0,2,0,0,0,0,0,715,875,875,1,5,0,1,180,105000,7,5
0,0,3,0,0,0,0,0,884,884,2035,2,8,1,2,434,222500,5,7
0,0,0,0,0,0,0,0,1080,1080,1080,1,6,0,0,0,141000,5,7
1,0,0,0,0,0,0,0,896,896,1344,1,7,0,1,240,115000,4,5
0,0,2,0,0,0,0,0,969,969,969,1,5,0,2,440,122000,6,5
0,0,0,0,0,0,0,0,1710,1710,1710,2,6,1,3,866,372402,5,8
0,0,3,0,0,0,0,0,825,1097,1993,2,8,1,2,495,190000,5,6
0,0,0,0,0,0,0,0,1602,1252,1252,1,4,1,2,564,235000,7,6
1,0,2,0,0,0,0,0,1200,1200,1200,1,7,0,1,312,125000,5,6
0,0,2,0,0,2,0,0,572,572,1096,1,5,0,0,0,79000,5,6
0,0,0,0,0,0,0,0,0,1040,1040,1,5,0,2,625,109500,7,5
0,0,2,0,0,0,0,0,774,774,1968,2,8,1,3,680,269500,5,8
3,0,2,0,0,0,0,0,991,991,1947,2,8,1,2,678,254900,5,7
0,0,2,0,0,0,0,0,1392,1392,2462,2,9,1,2,576,320000,5,7
0,0,3,0,0,0,0,0,1232,1232,1232,2,6,0,2,516,162500,6,6
0,0,0,0,0,0,0,0,1572,1572,2668,2,10,2,3,726,412500,5,9
0,0,2,0,0,0,0,0,1541,1541,1541,2,7,1,2,532,220000,5,7
0,0,0,0,0,0,0,0,882,882,882,1,4,0,0,0,103200,6,4
1,0,2,0,1,0,0,0,1149,1149,1616,2,5,0,1,216,152000,7,6
0,0,0,0,1,0,0,0,644,808,1355,2,6,0,0,0,127500,7,5
0,0,0,0,0,0,0,0,1617,1867,1867,1,7,3,1,303,190000,5,5
0,0,0,0,0,0,0,0,1582,1610,2161,1,8,1,3,789,325624,5,8
0,0,0,0,0,0,0,0,840,840,1720,2,7,1,2,440,183500,5,7
0,0,2,0,0,0,0,0,1686,1707,1707,2,6,1,2,511,228000,6,8
1,0,0,0,0,0,0,0,720,854,1382,1,7,0,2,660,128500,6,5
0,0,2,0,0,0,0,0,1080,1656,1656,1,7,2,2,528,215000,5,6
0,0,0,0,1,0,0,0,1064,1064,1767,2,5,1,2,504,239000,7,7
0,0,0,0,0,0,0,0,1362,1362,1362,1,6,1,2,504,163000,5,6
0,0,0,0,0,0,0,0,1606,1651,1651,2,7,1,2,616,184000,5,6
0,0,2,0,0,0,0,0,1202,2158,2158,2,7,1,2,576,243000,7,6
0,0,2,0,0,0,0,0,1151,1164,2060,2,8,1,2,521,211000,5,6
0,0,0,0,1,0,0,0,1052,1252,1920,2,8,1,2,451,172500,5,5
0,0,3,0,0,0,0,0,2216,2234,2234,2,9,1,3,1166,501837,5,9
1,0,0,0,0,0,0,0,968,968,968,1,5,0,2,480,100000,6,5
3,0,0,0,0,0,0,0,756,769,1525,2,5,1,2,440,177000,5,6
0,0,0,0,0,0,0,0,793,901,1802,1,9,1,1,216,200100,6,7
0,0,0,0,0,0,0,0,0,1340,1340,1,7,1,1,252,120000,6,5
1,0,0,0,0,0,0,0,1362,1362,2082,2,6,0,2,484,200000,5,7
0,0,0,0,0,0,0,0,504,936,1252,1,5,0,2,576,127000,8,5
1,0,0,0,1,0,0,0,1107,1518,3608,2,12,2,3,840,475000,9,10
0,0,3,0,0,0,0,0,1188,1217,1217,2,6,0,2,497,173000,5,7
0,0,0,0,0,0,0,0,660,808,1656,2,8,0,1,180,135000,7,5
0,0,0,0,0,0,0,0,1086,1224,1224,0,6,2,2,528,153337,5,5
0,0,0,0,0,0,0,0,1593,1593,1593,1,5,1,2,682,286000,5,8
0,0,0,1,0,0,0,0,853,1549,2727,2,10,2,2,440,315000,8,8
0,0,3,0,0,0,0,0,725,725,1479,1,7,0,2,484,184000,9,7
0,0,0,0,0,0,0,0,1431,1431,1431,2,6,0,2,666,192000,5,7
1,0,0,0,0,0,0,0,970,970,1709,2,7,0,2,380,130000,5,7
0,0,0,0,0,0,0,0,864,864,864,1,5,0,1,352,127000,7,5
0,0,1,0,0,0,0,0,855,855,1456,2,7,1,2,440,148500,6,6
0,0,0,0,0,0,0,0,1726,1726,1726,2,8,1,3,786,311872,5,7
0,0,2,0,1,0,1,0,1360,1360,3112,2,8,1,2,795,235000,4,8
1,0,2,0,0,0,0,0,755,929,2229,1,8,0,0,0,104000,6,6
0,0,0,0,0,0,0,0,1713,1713,1713,2,7,1,3,856,274900,5,8
1,0,2,0,0,0,0,0,1121,1121,1121,2,5,0,2,440,140000,5,4
0,0,0,0,0,0,0,0,1196,1279,1279,2,6,2,2,473,171500,6,6
0,0,2,0,1,0,0,0,617,865,1310,2,6,0,1,398,112000,6,6
1,0,0,0,0,0,0,0,848,848,848,1,3,1,2,420,149000,5,6
1,0,0,0,0,0,0,0,720,720,1284,1,5,0,1,240,110000,7,5
0,0,2,0,0,0,0,0,1424,1442,1442,2,5,0,2,500,180500,5,7
0,0,3,0,1,0,0,0,1140,1696,1696,1,8,1,1,349,143900,5,5
0,0,0,0,0,0,0,0,1100,1100,1100,1,6,1,1,312,141000,5,4
0,0,0,1,0,0,0,0,1157,1180,2062,2,7,1,2,454,277000,5,7
0,0,0,0,0,0,0,0,1092,1092,1092,1,6,0,2,504,145000,7,6
0,0,0,0,0,0,0,0,864,864,864,1,5,0,0,0,98000,6,5
0,0,2,0,0,0,0,0,1212,1212,1212,2,6,0,2,460,186000,5,6
3,0,0,0,0,0,0,0,900,932,1852,2,7,1,2,644,252678,5,7
0,0,3,0,0,0,0,0,990,990,990,1,5,0,2,576,156000,5,5
0,0,1,0,0,0,0,1,689,689,1392,1,6,0,1,299,161750,7,6
0,0,0,0,0,0,0,0,1070,1236,1236,1,6,1,1,447,134450,6,5
0,0,0,0,0,0,0,0,1436,1436,1436,2,8,0,2,484,210000,5,7
1,0,0,0,0,0,0,0,686,810,1328,1,8,0,1,210,107000,4,4
0,0,2,0,1,0,0,0,798,1137,1954,1,8,2,2,431,311500,9,7
0,0,0,0,0,0,0,0,1248,1248,1248,2,5,0,2,438,167240,5,7
0,0,0,0,0,0,0,0,1498,1498,1498,2,5,0,2,675,204900,5,7
0,0,0,0,0,0,0,0,1010,1010,2267,2,8,1,2,390,200000,5,6
0,0,0,0,0,0,0,0,713,811,1552,2,6,1,2,434,179900,6,6
0,0,1,0,0,0,0,0,864,864,864,1,4,0,2,576,97000,6,4
0,0,0,0,0,0,0,0,2392,2392,2392,2,8,1,3,968,386250,5,10
1,0,0,0,0,0,0,0,630,630,1302,2,6,0,1,280,112000,5,5
0,0,0,0,0,0,0,0,1203,1214,2520,2,9,1,3,721,290000,5,7
1,0,0,0,0,0,0,0,483,483,987,1,5,0,1,280,106000,6,6
0,0,1,0,0,0,0,0,912,912,912,1,5,1,1,336,125000,5,5
0,0,0,0,0,0,0,0,1373,1555,1555,2,7,1,2,430,192500,5,7
0,0,0,0,0,0,0,0,1194,1194,1194,1,6,0,1,312,148000,6,6
0,0,0,0,0,0,0,0,1462,1490,2794,2,9,1,3,810,403000,5,8
1,0,0,0,0,0,0,0,483,483,987,1,5,1,1,288,94500,5,6
0,0,2,0,0,0,0,0,894,894,894,1,5,0,1,308,128200,6,5
0,0,0,0,0,0,0,0,860,860,1960,2,8,2,2,440,216500,5,6
1,0,0,0,0,0,0,0,483,483,987,1,5,0,1,264,89500,3,6
0,0,1,0,0,0,0,0,1414,1414,1414,2,6,0,2,494,185500,5,7
0,0,3,0,0,0,0,0,996,1014,1744,2,7,0,2,457,194500,7,7
0,0,0,0,0,0,0,0,1694,1694,1694,2,7,0,3,818,318000,5,8
0,0,0,0,0,0,0,0,735,798,1487,1,7,1,1,220,113000,4,6
3,0,0,0,0,0,0,0,1566,1566,1566,2,7,0,2,750,262500,5,8
1,0,0,0,1,0,0,0,686,866,866,1,4,0,0,0,110500,9,5
1,0,2,0,0,0,0,0,540,889,1440,1,6,0,1,352,79000,4,5
0,0,2,0,0,0,0,0,626,626,1217,1,6,1,1,288,120000,6,6
0,0,0,0,0,0,0,0,948,1222,2110,2,8,2,2,463,205000,5,7
0,0,0,0,0,0,0,0,1845,1872,1872,2,6,1,2,604,241500,5,7
1,0,0,0,2,0,0,0,1020,908,1928,2,9,0,1,440,137000,8,6
0,0,0,0,0,0,0,0,1367,1375,1375,1,5,1,2,451,140000,5,6
0,0,0,0,0,0,0,0,840,840,1668,2,8,0,2,500,180000,5,7
0,0,3,2,0,0,0,1,1444,1444,2144,2,7,2,2,389,277000,7,6
0,0,0,0,3,0,0,1,728,1306,1306,1,6,0,0,0,76500,2,3
1,0,0,1,0,0,0,0,1573,1625,1625,2,5,1,2,538,235000,5,8
0,0,0,0,0,0,0,0,798,798,1640,2,6,0,2,520,173000,5,6
0,0,0,0,0,0,0,0,1302,1302,1302,2,7,0,1,309,158000,7,6
0,0,0,0,1,0,0,0,1314,1314,1314,1,5,0,1,294,145000,6,5
0,0,0,0,0,0,0,0,975,1005,2291,2,8,1,2,429,230000,5,7
3,0,0,0,0,0,0,0,864,864,1728,2,7,0,2,673,207500,5,6
0,0,0,0,0,0,0,0,1604,1604,1604,2,8,1,2,660,220000,5,7
0,0,0,0,0,0,0,0,963,963,1792,2,7,1,2,564,231500,5,7
1,0,0,0,0,0,0,0,0,882,882,1,4,0,1,308,97000,5,5
0,0,2,0,0,0,0,0,1362,1382,1382,1,6,1,2,884,176000,5,6
0,0,0,0,0,0,0,0,1482,1482,2574,2,10,1,3,868,276000,5,8
0,0,2,0,0,0,0,0,506,1212,1212,1,6,1,2,492,151000,7,6
1,0,2,0,0,0,0,0,926,926,1316,1,6,0,2,484,130000,7,5
1,0,0,0,0,0,0,0,680,764,764,1,4,0,2,504,73000,5,5
0,0,0,0,1,0,0,0,1422,1422,1422,2,7,1,2,576,175500,6,6
0,0,1,0,0,0,0,0,802,802,1511,2,8,1,2,413,185000,5,6
0,0,0,1,0,0,0,0,720,1052,2192,2,8,1,1,240,179500,8,5
1,0,0,0,0,0,0,0,740,778,778,1,4,1,1,924,120500,6,5
0,0,2,0,1,0,0,0,1143,1113,1113,1,6,1,1,504,148000,7,6
3,0,0,0,0,0,0,0,1095,1095,1939,2,8,1,3,1053,266000,5,8
0,0,3,2,0,0,0,0,1385,1363,1363,1,5,2,2,439,241500,7,7
0,0,3,0,0,0,0,0,1152,1164,2270,2,9,1,3,671,290000,7,8
0,0,0,0,0,0,0,0,1240,1632,1632,2,6,1,1,338,139000,6,6
0,0,2,0,0,0,0,0,816,816,816,1,5,0,1,264,124500,7,5
0,0,0,0,1,1,0,0,952,952,1548,2,5,0,2,672,205000,7,7
0,0,0,0,0,0,0,0,1560,1560,1560,2,7,0,2,573,201000,5,7
0,0,2,0,0,0,0,0,864,864,864,1,4,0,2,400,141000,5,4
0,0,0,0,0,0,0,0,2121,2121,2121,2,8,1,3,732,415298,5,9
0,0,0,0,0,0,0,0,1160,1156,2022,2,8,1,2,505,192000,5,7
0,0,0,0,0,0,0,0,807,1175,1982,2,7,1,2,575,228500,6,7
3,0,0,0,0,0,0,0,1262,1262,1262,2,5,0,2,572,185000,5,6
0,0,0,0,0,0,0,0,1314,1314,1314,2,6,1,2,626,207500,5,7
0,0,0,0,0,0,0,0,1468,1468,1468,2,6,1,3,898,244600,5,8
0,0,0,0,0,0,0,0,1575,1575,1575,2,5,0,2,529,179200,5,6
3,0,0,0,0,0,0,0,625,625,1250,2,5,0,2,528,164700,5,7
0,0,0,0,0,0,0,0,912,1085,1734,1,7,1,2,440,159000,7,6
0,0,2,0,0,0,0,0,858,858,858,1,5,0,0,0,88000,4,4
0,0,0,0,1,0,0,0,882,900,900,1,5,0,1,280,122000,5,5
0,0,0,0,0,0,0,0,698,698,1396,1,7,0,1,384,153575,7,6
0,0,0,0,0,0,0,0,1079,1079,1919,2,8,1,2,685,233230,5,8
0,0,0,0,2,0,0,0,780,936,1716,2,9,0,0,0,135900,6,5
0,0,0,0,0,0,0,0,768,1148,1716,1,8,1,1,281,131000,4,5
0,0,2,0,0,0,0,0,795,1468,2263,2,9,1,2,539,235000,7,7
0,0,0,0,0,0,0,0,1416,1644,1644,1,7,2,2,418,167000,5,6
0,0,3,0,0,0,0,0,1003,1003,1003,1,6,0,2,588,142500,6,6
1,0,0,0,0,0,0,0,910,910,1558,1,6,0,1,282,152000,5,5
3,0,0,0,0,0,0,0,975,975,1950,2,7,1,2,576,239000,5,7
0,0,0,0,0,0,0,0,702,1041,1743,1,7,1,2,539,175000,6,6
0,0,0,0,1,0,0,0,1092,1152,1152,1,6,1,1,300,158500,8,6
0,0,2,0,0,0,0,0,1165,1336,1336,1,5,2,1,375,157000,5,5
0,0,0,0,0,0,0,0,1028,1210,2452,2,9,1,2,683,267000,5,8
0,0,2,0,0,0,0,0,1541,1541,1541,2,6,1,3,843,205000,5,7
0,0,2,0,0,0,0,0,894,894,894,1,5,0,2,552,149900,7,5
1,0,0,0,0,0,0,0,1470,1675,3493,3,10,1,3,870,295000,9,7
0,0,0,0,0,0,0,0,2000,2000,2000,2,8,0,3,888,305900,5,8
0,0,0,0,0,0,0,0,700,1122,2243,2,8,1,3,746,225000,5,7
1,0,0,0,2,0,0,0,319,1035,1406,1,6,0,0,0,89500,7,6
0,0,0,0,0,0,0,0,861,861,861,1,4,0,2,539,82500,5,4
0,0,0,0,0,0,0,0,1896,1944,1944,2,8,3,3,708,360000,5,9
0,0,0,0,0,0,0,0,697,697,1501,2,6,1,2,420,165600,5,6
0,0,0,0,1,0,0,0,972,972,972,1,5,1,1,240,132000,6,6
1,0,0,0,0,0,0,0,793,793,1118,1,5,1,2,410,119900,7,5
0,0,0,2,0,1,0,0,2136,2036,2036,2,8,2,2,513,375000,5,7
1,0,0,0,0,0,0,0,728,832,1641,1,6,1,2,546,178000,7,7
0,0,0,0,0,0,0,0,716,716,1432,2,6,1,2,432,188500,5,7
0,0,2,0,0,0,0,0,845,1153,2353,2,10,1,2,484,260000,7,7
3,0,0,0,0,0,0,0,1088,1088,1959,2,8,1,3,1025,270000,5,8
0,0,0,1,0,0,0,0,1347,1372,2646,2,9,1,3,656,260000,5,7
0,0,0,0,0,0,0,0,1372,1472,1472,2,6,2,2,588,187500,5,7
0,0,2,0,0,0,0,0,1249,1249,2596,3,9,0,3,840,342643,5,9
0,0,0,0,0,0,0,0,1136,1136,2468,2,10,1,3,872,354000,5,8
0,0,0,0,0,0,0,0,1502,1553,2730,2,8,1,2,576,301000,5,7
1,0,0,0,1,0,0,0,1162,1163,1163,1,6,0,1,220,126175,8,3
0,0,2,0,1,0,0,0,710,1898,2978,2,11,1,2,564,242000,7,7
1,0,0,0,0,0,0,0,720,803,803,1,5,0,2,360,87000,6,5
0,0,3,0,0,0,0,0,1719,1719,1719,1,6,2,2,473,324000,5,8
0,0,0,0,0,0,0,0,1383,1383,1383,1,7,0,1,292,145250,5,6
0,0,0,0,0,0,0,0,844,1445,2134,2,10,0,2,441,214500,6,6
1,0,2,0,0,0,0,0,596,596,1192,1,6,0,1,189,78000,5,5
0,0,0,0,0,0,0,0,1728,1728,1728,2,10,0,1,352,119000,4,5
0,0,0,0,0,0,0,0,1056,1056,1056,1,6,0,1,308,139000,6,5
0,0,0,0,0,0,0,0,3206,1629,1629,2,7,1,3,880,284000,5,8
1,0,4,0,0,0,0,0,1358,1358,1358,2,6,1,2,484,207000,5,7
0,0,0,0,0,0,0,0,943,943,1638,2,7,2,2,472,192000,5,6
